"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko00980","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.1447471433556,"BH",0.233265111580778
"ko00410","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0317839817656768,"BH",0.0850495512074663
"ko00983","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00507800779170781,"BH",0.0452119292943344
"ko05150","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.603542302857548,"BH",0.663383607673452
"ko00791","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0903220721115656,"BH",0.166089876679087
"ko00790","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.174553983668593,"BH",0.261493998700441
"ko00020","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.191755862708642,"BH",0.276843033998344
"ko00710","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0195057111585568,"BH",0.0658105733001742
"ko02060","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.13805047473485,"BH",0.230229986250594
"ko00340","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0948398286664655,"BH",0.171952586554152
"ko00785","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.461856082088562,"BH",0.545538044132114
"ko00550","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00937100327817927,"BH",0.0491701569290183
"ko00650","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00605383116101148,"BH",0.0472578874412031
"ko02030","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.128587847524328,"BH",0.220642069496184
"ko03320","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.359585647917769,"BH",0.452642933674899
"ko04612","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.143903766899384,"BH",0.233265111580778
"ko04621","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.241576268925935,"BH",0.328938094397949
"ko04622","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.241616899235607,"BH",0.328938094397949
"ko00910","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0313815507624052,"BH",0.0850495512074663
"ko00460","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0156544621966983,"BH",0.0595952745909682
"ko00830","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0811647422795157,"BH",0.154372156884569
